acronym,group
GAL3ST1,brain
GAL3ST2,brain
GAL3ST3,brain
GALNT13,brain
GALNT8,brain
GALNT9,brain
GALNTL5,brain
GALNTL6,brain
GALR1,brain
GALR3,brain
GAP43,brain
GAPDHS,brain
GAS7,brain
GAST,brain
GBX1,brain
GBX2,brain
GCM2,brain
GDA,brain
GDAP1,brain
GDAP1L1,brain
GDF1,brain
GDF5,brain
GDI1,brain
GDPD1,brain
GDPD2,brain
GFAP,brain
GFOD1,brain
GGN,brain
GGNBP1,brain
GHRH,brain
GHRHR,brain
GIF,brain
GJB1,brain
GJB5,brain
GJB6,brain
GJC2,brain
GJD2,brain
GJD4,brain
GKN1,brain
GKN2,brain
GLB1L3,brain
GLDC,brain
GLDN,brain
GLP1R,brain
GLP2R,brain
GLRA1,brain
GLRA2,brain
GLRA3,brain
GLRA4,brain
GLRB,brain
GLT1D1,brain
GLT6D1,brain
GLTPD2,brain
GNAL,brain
GNAO1,brain
GNAT1,brain
GNAT3,brain
GNAZ,brain
GNG13,brain
GNG2,brain
GNG3,brain
GNG4,brain
GOLGA6C,brain
GOLGA7B,brain
GPC5,brain
GPD1,brain
GPM6A,brain
GPM6B,brain
GPR101,brain
GPR12,brain
GPR137C,brain
GPR139,brain
GPR149,brain
GPR150,brain
GPR151,brain
GPR158,brain
GPR162,brain
GPR17,brain
GPR173,brain
GPR19,brain
GPR21,brain
GPR22,brain
GPR26,brain
GPR27,brain
GPR3,brain
GPR37,brain
GPR37L1,brain
GPR45,brain
GPR50,brain
GPR52,brain
GPR6,brain
GPR61,brain
GPR62,brain
GPR75,brain
GPR78,brain
GPR83,brain
GPR85,brain
GPR88,brain
GPRASP1,brain
GPRASP2,brain
GPRC5B,brain
GPRIN1,brain
GRAMD1B,brain
GREM1,brain
GRHL3,brain
GRIA1,brain
GRIA2,brain
GRIA3,brain
GRIA4,brain
GRID1,brain
GRID2,brain
GRIK1,brain
GRIK2,brain
GRIK3,brain
GRIK4,brain
GRIK5,brain
GRIN1,brain
GRIN2A,brain
GRIN2C,brain
GRIN2D,brain
GRIN3A,brain
GRK1,brain
GRM1,brain
GRM2,brain
GRM3,brain
GRM4,brain
GRM5,brain
GRM6,brain
GRM7,brain
GRM8,brain
GRP,brain
GSG1,brain
GSG1L,brain
GSX1,brain
GSX2,brain
GUCA1A,brain
GUCA1C,brain
GUCY1A2,brain
GUCY1B3,brain
GUCY2F,brain
HABP4,brain
HAMP,brain
HAO1,brain
HAP1,brain
HAPLN1,brain
HAPLN2,brain
HAPLN4,brain
HBM,brain
HBQ1,brain
HCN1,brain
HCN2,brain
HCN4,brain
HCRTR1,brain
HCRTR2,brain
HDGFL1,brain
HECW1,brain
HELT,brain
HEPACAM,brain
HES5,brain
HES6,brain
HEY1,brain
HFE2,brain
HGFAC,brain
HHATL,brain
HHIP,brain
HHIPL1,brain
HIPK2,brain
HIPK4,brain
HMGCLL1,brain
HMSD,brain
HMX1,brain
HOMER1,brain
HORMAD2,brain
HOXD1,brain
HPCA,brain
HPCAL4,brain
HPR,brain
HR,brain
HRASLS,brain
HRH3,brain
HRK,brain
HS3ST2,brain
HS3ST4,brain
HS3ST5,brain
HS6ST2,brain
HS6ST3,brain
HSD11B1L,brain
HSF2BP,brain
HSFY1,brain
HSPA12A,brain
HSPA2,brain
HSPB3,brain
HTR1A,brain
HTR1B,brain
HTR1D,brain
HTR1E,brain
HTR2A,brain
HTR2C,brain
HTR3B,brain
HTR4,brain
HTR5A,brain
HTR6,brain
HYDIN,brain
IBSP,brain
ICA1L,brain
ICAM5,brain
IDS,brain
IFNA1,brain
IFNA6,brain
IFNW1,brain
IGDCC3,brain
IGFBPL1,brain
IGFL1,brain
IGFL4,brain
IGFN1,brain
IGLON5,brain
IGSF1,brain
IGSF11,brain
IGSF21,brain
IL17D,brain
IL1A,brain
IL1RAPL1,brain
IL25,brain
IL9,brain
ILDR2,brain
IMPG1,brain
INA,brain
INHBC,brain
INPP5F,brain
INSL5,brain
INSM1,brain
INSM2,brain
IPCEF1,brain
IQCA1,brain
IQCF3,brain
IQCJ,brain
IQSEC3,brain
IRS4,brain
IRX1,brain
